Nom,Description,Photo,Quentin Chavanne,Unnamed: 1,Unnamed: 2
Hans Peter Müller,,https://m.media-amazon.com/images/S/amzn-author-media-prod/kbfam7pltiv4pd3pkrjvo2tv69._SY600_.jpg,,,
Abelle Leroy,,,,,
Martine Voclain,,https://m.media-amazon.com/images/S/amzn-author-media-prod/7u7koh5e82dliv8v7fsged1f4d._SY600_.jpg,,,
Henri Cohen,,,,,
Anne-Sophie Laroche,,https://m.media-amazon.com/images/S/amzn-author-media-prod/37n8g015k5cuil5nm5kc7mfbn2._SY600_.jpg,,,
Loïc Ternisien,"Scientifique de formation, Loïc Ternisien a découvert la naturopathie au Canada. Spécialisé en aromathérapie et en herboristerie, il consulte entre Montréal et Paris. Formateur, il est aussi le fondateur d&#39un programme de rééquilibrage alimentaire Nyam.fr, et anime la série web "" Les Tutos de Loïc "" où il présente de façon ludique l&#39aromathérapie.",https://m.media-amazon.com/images/S/amzn-author-media-prod/3mc3s96g8niih45bgnhmb4v0lr._SY600_.jpg,,,
Recettes Pros,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png,,,
Bertrand Waterman,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u53vmo838ip1r2dp1stp8duvfq._SY600_.jpg,,,
Virginie Martin,"Grégoire Cozon est médecin hospitalier, maître de conférence des universités à l&#39UFR de médecine Lyon-Est (Université Claude Bernard Lyon 1) et spécialiste des déficits immunitaires primitifs de l&#39adulte ainsi que de la prise en charge de maladies de cause indéterminée. Virginie Martin suit avec ses enfants un régime d&#39éviction sans gluten, sans lait, sans sucre et sans levure depuis plusieurs années. Etant passionnée de cuisine, elle a réussi à adapter des plats courants à leur régime d&#39éviction et a alors créé le blog latabledesintolerants, dans lequel sont répertoriées plus de 400 recettes. Les recettes présentées dans cet ouvrage sont en partie inédites.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png,,,
IG Media,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ihcdde44dr4qblkflu3a73j6uf._SY600_.jpg,,,
Peter J. D&#39Adamo,,,,,
Déborah Cohen,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u6mbmp7h6dtq6endpp7vqnocvb._SY600_.jpg,,,
Tim Spector,"Revue de presse
Tim Spector makes healthy eating exhilarating, empowering and achievable. -- Hugh Fearnley-Whittingstall

A brilliant deep-dive into how food affects our wellbeing – and more importantly, what we can do about it. Enlightening and empowering -- Liz Earle

Spector writes as a food lover... Every person&#39s ideal diet is different, and should be based on sensible choices from a position of knowledge. Food for Life is a feast of that knowledge... A valuable reference book to keep on a kitchen shelf. ― Guardian

The nutrition revolution is well underway and Tim Spector is one of the visionaries leading the way. His writing is illuminating and so incredibly timely. -- Yotam Ottolenghi - praise for SPOON-FED

[A] weighty and detailed guide to modern living... [Spector] explains how to boost your microbiome and tailor your diet. ― Sunday Times, *Books of the Year*

No fads, no nonsense, just practical, science-based advice on how to eat well. ― Daily Mail, *Books of the Year*

Food for Life is a fascinating tour d&#39horizon, deftly drawing on recent research... Well
written [and] informative.
― Literary Review

Tim Spector has been exploding the myths around food and health for years... Here he continues the demolition job in a rigorously academic book that welcomes the layperson with open arms. ― The Times, *Books of the Year*

Tim&#39s book is a revelation. With his years of experience and engaging writing, he navigates the fascinating and complicated relationship between food and health. A must-read for anyone seeking a respected and trustworthy guide through the murky world of nutrition -- Dr Rupy

A life-changing book -- Davina McCall
Quatrième de couverture
&#39Life-changing&#39 DAVINA McCALL
&#39A must-read&#39 DR RUPY AUJLA
&#39Fascinating&#39 NIGELLA LAWSON
&#39Empowering&#39 LIZ EARLE

**AS HEARD ON THE DIARY OF A CEO PODCAST**

Empowering and practical, Food for Life is nothing less than a new approach to how to eat - for our health and the health of the planet.

Food is our greatest ally for good health, but the question of what to eat in the age of ultra-processed food has never seemed so complicated.
Drawing on cutting-edge research and personal insights, Professor Tim Spector offers clear answers in this definitive, easy-to-follow guide to the new science of eating well.

‘No fads, no nonsense, just practical, science-based advice on how to eat well’ Daily Mail, Books of the Year

&#39A rigorously academic book that welcomes the layperson with open arms&#39 The Times

** A THE TIMES and SUNDAY TIMES BOOK OF THE YEAR**
** WINNER OF THE FORTNUM & MASON SPECIAL AWARD **


En lire plus",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png,,,
Carole Garnier,Carole Garnier est journaliste à Saveurs et l&#39auteure de nombreux livres de référence sur l’alimentation santé aux éditions Leduc. Ensemble elles ont publié Ma bible de l’alimentation anticholestérol.,,,,
Karine SIMON,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u5d0so8jdqq9qruul0i3lpoj27._SY600_.jpg,,,
